pwdprmor,pwdstcrd,pwdsloan,pwarppg,pwarrspl,pwarrif,pwaotpen,pwatfs,pefatinc,pweight,pagemieg,peducmie,total_retirement_assets,retirement_preparedness,has_mortage,has_cc,has_student,retirement_preparedness_log
0,0,0,7750,100000,0,775,200000,37475,1110.6743,11,3,308525,8.23282188125417,0,0,0,2.325600385645511
0,0,0,0,0,190000,0,0,53150,1185.9025,14,3,190000,3.574788334901223,0,0,0,1.7182543497915626
0,0,0,0,0,0,0,90000,26575,1108.9973,13,1,90000,3.3866415804327374,0,0,0,1.6839221073161124
0,0,0,62500,0,0,0,0,29225,2237.072,14,1,62500,2.1385799828913603,0,0,0,1.4203527296979042
290000,4750,0,0,150000,0,0,0,124675,305.7582,9,3,150000,1.20312813314618,1,1,0,1.1641278739312115
0,6250,0,3000,0,150000,0,0,63275,756.1628,9,4,153000,2.418016594231529,0,1,0,1.4856908610414667
0,7250,0,82500,92500,19000,0,0,143450,884.3179,8,1,194000,1.3523875914952945,0,1,0,1.2096728058562431
150000,2000,0,0,120000,0,0,0,98550,1046.4734,8,2,120000,1.21765601217656,1,1,0,1.1686531479455724
0,0,0,17000,0,0,0,0,35500,3476.723,11,2,17000,0.4788732394366197,0,0,0,0.9078041179968362
0,0,0,0,7250,0,0,10000,44225,1705.7816,8,3,17250,0.3900508762012436,0,0,0,0.8713146528303429
0,0,0,825000,200000,0,0,95000,71075,1051.8877,9,2,1120000,15.75800211044671,0,0,0,2.8768362374549703
0,0,0,0,200000,0,0,5750,76775,1324.0974,7,4,205750,2.679908824487138,0,0,0,1.543278627792587
0,0,0,340000,550000,0,0,50000,66400,3527.7221,10,4,940000,14.156626506024097,0,0,0,2.7823302754850805
95000,3100,0,32000,0,0,0,0,31575,3266.873,12,2,32000,1.0134600158353126,1,1,0,1.1030889255056038
380000,0,0,0,41000,0,145000,0,48550,1417.1449,9,4,186000,3.831101956745623,1,0,0,1.76320599738052
1850000,0,0,0,120000,0,0,775,132625,660.5675,7,4,120775,0.9106503298774741,1,0,0,1.0683765372727807
0,0,0,420000,15000,0,0,0,61600,473.7982,11,4,435000,7.061688311688312,0,0,0,2.2040554505627474
0,0,0,625000,90000,0,0,0,97175,2002.2721,9,4,715000,7.357859531772576,0,0,0,2.23621658183474
62500,0,0,110000,0,0,0,0,49025,6184.0371,6,3,110000,2.2437531871494136,1,0,0,1.4454480633465405
125000,675,0,350000,15500,0,0,0,57725,977.1888,8,3,365500,6.331745344304894,1,1,0,2.1200729593580654
0,1600,0,30000,4750,0,0,3900,36975,1343.7931,7,4,38650,1.0453008789722786,0,1,0,1.1135997071087265
0,0,0,135000,37000,0,4100,20000,241750,724.7989,6,4,196100,0.8111685625646329,0,0,0,1.0336002554643733
0,0,0,85000,0,0,0,0,31500,765.9452,14,1,85000,2.6984126984126986,0,0,0,1.5472247279325277
0,0,0,410000,0,0,0,5000,65325,1539.9691,12,4,415000,6.352851128970532,0,0,0,2.1226029331524225
0,1000,5250,0,0,0,0,46000,36525,1295.9076,8,2,46000,1.2594113620807665,0,1,1,1.1815466152961085
115000,0,27000,37000,6500,0,0,0,82050,507.2081,6,3,43500,0.5301645338208409,1,0,1,0.9282843337556337
350000,0,0,120000,210000,0,0,2000,122550,2757.7099,7,2,332000,2.709098327213382,1,0,0,1.5494964517427992
0,0,0,440000,39000,0,0,0,62725,2668.7038,9,3,479000,7.636508569151056,0,0,0,2.265558861395515
0,0,0,1150000,525000,0,0,165000,112150,839.5933,11,4,1840000,16.406598305840394,0,0,0,2.9127092039103264
0,475,0,0,70000,0,0,500,26000,1441.7721,8,2,70500,2.7115384615384617,0,1,0,1.5500144919632997
0,6750,0,0,27000,85000,0,0,53225,532.5677,9,2,112000,2.1042743071864725,0,1,0,1.4120289446179015
150000,0,0,44000,65000,0,0,72500,115200,1155.0423,10,3,181500,1.5755208333333333,1,0,0,1.274110853180244
31000,5000,0,52500,210000,0,0,0,105625,333.071,7,3,262500,2.485207100591716,1,1,0,1.500784670719298
160000,5000,0,5250,52500,0,0,0,87100,7873.3826,6,1,57750,0.6630309988518944,1,1,0,0.9794649473392957
0,0,0,650000,29000,0,0,0,194700,1331.278,8,3,679000,3.487416538263996,0,0,0,1.702457568857652
0,0,0,0,55000,0,0,0,130050,1314.9378,8,2,55000,0.4229142637447136,0,0,0,0.8849710568685684
0,7000,0,0,20000,0,0,10000,64625,1908.7975,9,2,30000,0.46421663442940037,0,1,0,0.9018739616236796
0,0,0,2500000,400000,0,0,100000,180725,703.0716,9,4,3000000,16.599806335592753,0,0,0,2.923151168600044
0,0,0,150000,70000,0,0,0,36125,3752.1251,9,2,220000,6.0899653979238755,0,0,0,2.0906244539195815
0,0,0,1600000,625000,0,0,40000,314650,92.1246,12,4,2265000,7.198474495471158,0,0,0,2.2190376545963932
0,0,0,240000,470000,0,0,0,198075,360.8521,8,3,710000,3.5845008203963147,0,0,0,1.71999504990469
0,0,0,380000,675000,0,0,175000,158375,680.5426,10,4,1230000,7.7663772691397,0,0,0,2.278945595769795
46000,8000,0,9500,0,0,0,0,55675,37.9849,7,4,9500,0.17063313875168387,1,1,0,0.7750188940060607
23000,0,0,0,410000,0,0,14500,103475,131.4911,7,4,424500,4.102440202947572,1,0,0,1.808688724457383
0,0,0,1100000,460000,0,0,55000,291350,340.6046,9,4,1615000,5.543161146387506,0,0,0,2.020641344343082
0,21000,0,0,150000,0,0,0,103600,1275.6233,11,2,150000,1.4478764478764479,0,1,0,1.2377585191769613
0,0,0,55000,0,115000,0,0,51850,249.5609,14,1,170000,3.278688524590164,0,0,0,1.6636776813710972
240000,18500,0,120000,725,0,0,250,38075,1155.4889,9,3,120975,3.1772816808929742,1,1,0,1.644280146501977
0,0,0,370000,150000,210000,0,9250,106400,1525.4885,8,4,739250,6.947838345864661,0,0,0,2.1914119775130447
0,0,0,320000,0,25000,0,65000,39000,3787.3012,14,4,410000,10.512820512820513,0,0,0,2.526753759723501
0,0,0,67500,20000,0,0,0,32400,118.0034,11,2,87500,2.700617283950617,0,0,0,1.5476938371028324
125000,4750,0,290000,0,0,0,275,38450,1204.5525,11,3,290275,7.549414824447334,1,1,0,2.2564798776882733
0,0,0,0,155000,0,0,27000,45950,798.7834,10,1,182000,3.9608269858541894,0,0,0,1.7852092274673363
40000,5500,0,360000,625,0,0,0,82600,3310.6037,11,2,360625,4.3659200968523,1,1,0,1.8509587772342087
0,0,0,44000,0,0,0,2000,71150,698.8919,8,3,46000,0.6465214335910049,0,0,0,0.9732461111272454
0,325,0,120000,14500,16500,0,0,60500,270.2668,10,4,151000,2.4958677685950414,0,1,0,1.5031587012592016
0,0,0,92500,0,250000,0,25000,58375,2990.0869,13,2,367500,6.295503211991434,0,0,0,2.115713586298044
0,1450,0,1550000,360000,0,0,82500,167325,2539.8093,7,3,1992500,11.907963544001195,0,1,0,2.632461592917071
0,0,0,0,1500000,0,0,140000,122800,377.2413,9,4,1640000,13.355048859934854,0,0,0,2.731444335908879
280000,9250,0,750000,330000,0,0,0,127125,1571.4551,10,4,1080000,8.495575221238939,1,1,0,2.3509537608453304
300000,10000,0,410000,230000,0,0,0,213700,230.9233,9,4,640000,2.9948525970987365,1,1,0,1.6084079015747426
340000,275,0,1200000,82500,0,0,0,179275,559.5596,6,4,1282500,7.15381397294659,1,1,0,2.2141706200833564
0,0,0,1300000,300000,4000,110000,145000,190450,803.5736,10,4,1859000,9.761092150170649,0,0,0,2.464796808070808
0,0,0,140000,72500,0,0,0,62400,934.7032,6,3,212500,3.405448717948718,0,0,0,1.6874074666922225
0,0,0,1400000,180000,0,0,0,220375,1303.6686,7,4,1580000,7.169597277368123,0,0,0,2.2158933678959194
160000,0,2000,260000,360000,0,0,20000,171175,2453.7432,7,4,640000,3.738863735942749,1,0,1,1.7472612353250456
0,0,0,195000,1250000,25000,0,1000,276275,1035.5993,9,4,1471000,5.324405031218895,0,0,0,1.9912119271972735
0,2600,0,0,160000,0,0,3100,123550,1569.0517,10,4,163100,1.320113314447592,0,1,0,1.1999989132036613
100000,0,0,0,19000,0,0,0,71075,1721.0479,6,3,19000,0.2673232500879353,1,0,0,0.8185999507243834
26000,0,0,0,270000,0,0,10000,132300,2789.3183,8,4,280000,2.1164021164021163,1,0,0,1.4149795091187491
